RSSI,latency var.,TIMESTAMP,Predicted Drops
-99.0,4195.0,0.0,0
-95.0,4265.0,0.4320050000023911,0
-103.0,4321.0,0.7189839999991818,0
-92.0,4451.0,0.9868810000043596,0
-102.0,4524.0,1.3430999999982305,0
-99.0,4555.0,1.6692299999995155,0
-93.0,4578.0,2.06013399999938,0
-102.0,4525.0,2.334046000003582,0
-91.0,4490.0,2.610702999998466,0
-102.0,4420.0,2.907037000004493,0
-96.0,4446.0,3.263691000000108,0
-100.0,4447.0,3.5803200000009383,0
-100.0,4436.0,3.9521200000017416,0
-97.0,4477.0,4.233848000003491,0
-101.0,4505.0,4.527278000001388,0
-94.0,4563.0,4.850491999997757,0
-103.0,4601.0,5.123310000002675,0
-94.0,4672.0,5.396631000003254,0
-103.0,4723.0,5.691412000000128,0
-94.0,4799.0,5.96929700000328,0
-102.0,4786.0,6.2997380000015255,0
-97.0,4818.0,6.647848000000522,0
-101.0,4798.0,6.993990000002668,0
-99.0,4818.0,7.281234000001859,0
-96.0,4821.0,7.569187000000966,0
-100.0,4773.0,7.837686999999278,0
-100.0,4683.0,8.076208999998926,0
-100.0,4717.0,8.39614000000438,0
-92.0,4803.0,8.772870000000694,0
-104.0,4806.0,9.02161999999953,0
-96.0,4784.0,9.34475299999758,0
-104.0,4648.0,9.67573000000266,0
-92.0,4538.0,9.963618000001588,0
-102.0,4368.0,10.30970299999899,0
-98.0,4317.0,10.60564400000294,0
-103.0,4311.0,10.933144000002358,0
-103.0,4278.0,11.222084000000905,0
-96.0,4250.0,11.542255000000296,0
-103.0,4270.0,11.87083100000018,0
-92.0,4363.0,12.207067000003008,0
-103.0,4418.0,12.524261999998998,0
-97.0,4452.0,12.84140699999989,0
-95.0,4413.0,13.220209999999495,0
-104.0,4333.0,13.527476000002936,0
-94.0,4346.0,13.858801000002131,0
-104.0,4387.0,14.127607000002172,0
-93.0,4463.0,14.384288000001106,0
-102.0,4436.0,14.682416000003286,0
-96.0,4512.0,14.998982000004617,0
-103.0,4552.0,15.27715100000205,0
-93.0,4674.0,15.550785999999787,0
-104.0,4813.0,15.898387000001094,0
-96.0,4801.0,16.170352000001003,0
-100.0,4693.0,16.49751500000275,0
-102.0,4668.0,16.816736000000674,0
-97.0,4668.0,17.147540999998455,0
-103.0,4650.0,17.41827700000431,0
-93.0,4712.0,17.720236000001023,0
-103.0,4823.0,18.00857299999916,0
-92.0,4748.0,18.31752899999992,0
-103.0,4728.0,18.5959440000006,0
-95.0,4649.0,18.882675000000745,0
-103.0,4578.0,19.19750500000373,0
-95.0,4430.0,19.504840000001423,0
-102.0,4365.0,19.768003999997745,0
-98.0,4296.0,20.07446599999821,0
-99.0,4166.0,20.4475139999995,0
-102.0,3944.0,20.78128000000288,0
-94.0,3797.0,21.1075090000013,0
-104.0,3694.0,21.45067199999903,0
-97.0,3533.0,21.79107600000134,0
-102.0,3506.0,22.09441599999991,0
-102.0,3487.0,22.44387799999822,0
